제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,크롤링상태,보정필터_소스
PROP-202389,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안,2026-07-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202389,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,공간·편의시설: 도서관 + 아이,제외필터링,"일반 아동/학교/시설/안전 제안: 청소년, 스포츠센터 중심이며 출산·양육 직접 맥락 부족","제안 배경:
관내 실내 빙상장 부족으로 인한 동호인 및 청소년 체육 환경 열악.
도심 기피 시설인 유수지 공간을 복개하여 주민 친화적 생활 SOC로 전환 필요.
기대 효과 (차별성):
부지 비용 '0원':
신규 토지 매입 없이 기존 시유지/구유지(유수지)를 활용해 수백억 원의 예산 절감.
친환경 에너지 모델:
빗물 정화수를 활용한 고품질 빙질 유지 및 하수/유수 수열 에너지를 이용한 냉동기 가동 (탄소중립 실현 및 운영비 혁신적 감축).",웹크롤링 성공,검증용137_웹본문포함
PROP-202264,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,[BTF푸른나무재단] 아이들이 안전한 학교를 위한 학교폭력 예방 및 대응 정책 제안서 전달,2026-06-26,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202264,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교폭력, 청소년, 학교 중심이며 출산·양육 직접 맥락 부족","서울시장 당선인님께
안녕하십니까
.
BTF
푸른나무재단입니다
.
먼저 제
9
회 전국동시지방선거 지방자치단체장 당선을 진심으로 축하드립니다
.
BTF
푸른나무재단은
1995
년 학교폭력 피해로 아들을 잃은 아버지의 간절한 염원에서 시작되어
,
지난
30
년간 학교폭력 예방과 피해학생 치유
,
정책 제안과 사회변화 활동을 이어온 비영리공익법인입니다
.
지금 학교폭력은 다시 중요한 전환점에 놓여 있습니다
.
학교폭력의 저연령화
,
반복 피해
·
가해 증가
,
도움요청 감소
,
침묵과 방관의 확대는 학교가 아이들에게 충분히 안전한 공간인지 다시 묻게 하고 있습니다
.
학교폭력 대응은 더 이상 사건 발생 이후의 처리에만 머물 수 없습니다
.
예방
,
조기 발견
,
피해학생 보호와 회복
,
가해학생의 책임 있는 변화
,
학교와 지역사회의 연계가 함께 작동해야 합니다
.
이에
BTF
푸른나무재단은 당선인님의 취임 이후
지역사회에서
학교폭력 예방 및 대응 과제가 주요하게 반영될 수 있도록
「
제
9
회 지방선거 지방자치단체장 당선인에게 전하는 학교폭력 예방 및 대응 정책 제안서
」
를 전달드립니다
.
이번 제안서에는 다음의
3
대 정책 방향을 담았습니다
.
<
지방자치단체장 후보자께 제안드리는
3
대 공약
>
1.
학교폭력 대응이 작동하는 지역 책임체계를 마련해야 합니다
.
2.
아동
·
청소년의 마음건강을 위한 지역 인프라를 확충해야 합니다
.
3.
학교폭력이 지역사회 갈등의 씨앗이 되지 않도록 예방해야 합니다
.
아이들이 안심하고 배우며 성장할 수 있는 학교를 만드는 일은 더 이상 미룰 수 없는 과제입니다
.
당선인님께서 속한
지역사회 내에서 학교폭력 예방
·
대응 체계가 보다 구체적이고 지속 가능한 정책으로 이어질 수 있도록 깊은 관심과 검토를 부탁드립니다
.
첨부드리는 정책 제안서를 확인해 주시고 적극적 검토를 부탁드립니다
.
감사합니다
.
BTF
푸른나무재단 드림
붙임
. [BTF
푸른나무재단
]
제
9
회 전국동시지방선거 지방자치단체장 당선인에게 전하는 학교폭력 예방 및 대응 정책 제안서
1
부
.
끝
.
BTF
푸른나무재단 홈페이지
: https://btf.or.kr/
BTF
푸른나무재단 설립 스토리
: https://youtu.be/hdrJ5OaeUFY?si=vT_-efrAbET6hhnH
☎
BTF
푸른나무재단 학교폭력문제연구소
) 02-598-1640",웹크롤링 성공,검증용137_웹본문포함
PROP-201995,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,2026-05-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201995,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"현황 및 문제점
어린이 보호구역내 인도의 각종 표지판 하단은 스덴으로 기둥이 되어 있어, 어린이 및 주민 식별 저하
* 특히 최근 어린이들 도보시 스마트폰을 보면서 이동하여 표지판에 사고를 당할수 있음.
개선방안
어린이 보호구역 인도내 표지판의 하단에 밝은 노랑 스티커 부착으로 보행자분들께서 야간에도 식별 가능하고, 주간에도 식별이 가능하도록 개선
기대효과
밝은 스티커 부착으로 운전자의 시야 확보, 어린이 보호구역내 사고위험 저하, 주민들의 인도 통행시 사물 확인 용이",웹크롤링 성공,검증용137_웹본문포함
PROP-201849,"아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.","아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.",2026-04-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201849,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"현황 및 문제점
현재 전국의 어린이 보호구역과 이면도로에 설치된 아스팔트 과속방지턱은 안전을 명분으로 설치되었으나, 실제로는 보행자(어린이·노인)의 낙상 사고, 차량 파손, 비산먼지 발생 등 수많은 부작용을 낳고 있습니다.
개선방안
턱 없는(Zero-Bump) 스마트 안전 구역
물리적으로 차를 멈추게 하는 시대는 지났습니다. 이제는 포장재의 혁신으로 스스로 서행하게 해야 합니다.
기술적 해결 (1등급 투수블록 활용): 특정 안전 구간 전체를 시인성이 높은 색상의 고성능 투수블록으로 포장합니다. 운전자는 시각적으로 ""특별 관리 구역""임을 즉각 인지하고 심리적으로 자연스러운 감속을 실천하게 됩니다.
감성적 서행 유도: 블록 포장 고유의 노면 질감을 활용하여 운전자에게 직관적인 주의를 환기시키며, 기존 과속방지턱의 고질적 문제였던, 차량 하부 간섭 및 긁힘과 파손을 근본적으로 제거하여 주행 안전성을 보장합니다. '턱' 없이도 속도를 줄이는 과학적이고 품격있는 방법입니다.
기후 위기 대응: 빗물을 100% 흡수하는 1등급 투수 기술은 도시 침수를 막고 열섬 현상을 해결합니다.
기대효과
국민 안전: 어린이·노인 낙상 사고 Zero화 및 차량 파손 민원 종결.
탄소 중립: 아스팔트 대비 탄소 배출 저감 및 도시 물순환 회복.",웹크롤링 성공,검증용137_웹본문포함
PROP-201626,어린이 보호구역 차량단속,어린이 보호구역 차량단속,2026-03-11,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201626,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족","안녕하세요,
도봉구 방학동에 위치한 창도초등학교 정문과 대상 아파트 사이의 횡단보도로 많은 초등학
？
생들이
등하교를 하고 있습니다.
등하교길에 이 횡단보도에 많은 차량들이 꼬리물기 신호위반 / 불법정차 등을 너무 빈번하게 하고 있어
소중한 아이들의 안전이 매우 위태로운 상태 입니다.
특히 행단보도 위에 꼬리물기 하고 있는 차량을 피해 좁은 차사이로 조그만 아이들이 이리저리 피해가는
것을보면 아찔합니다.
몇년전부터 학교 ,구청, 경찰서에 상태의 심각성을 전달 하였지만 나아 지는것이 없습니다.
만일 심각한 사고라도 나면 누가 책임질 것이고 그때서야 조치를 취할것입니까?
경찰이나 학교 관계자들이 계도를 해봤자 통하질 않습니다.
위반 차량에 대해서는 무관용의 단속으로 과태료를 부과하여야 질서가 잡힐것입니다,
또한 지속적인 단속을 위해서 횡단보도 앞에 CCTV를 설치하여 불법주정차등 법규위반 차량을 감시하여
아이들의 안전을 지켜주십시오.
특히 새학기에는 더욱 철저하게 단속하여야 할 것입니다.
신속한 처리 부탁드립니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-199706,불법주정차 구역중 어린이보호구역 중 초등학교정문앞도로 시간 제한 폐지,불법주정차 구역중 어린이보호구역 중 초등학교정문앞도로 시간 제한 폐지,2025-06-05,2025,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199706,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족","현황 및 문제점
현재 어린이보호구역 중 초등학교정문앞도로 제외 모든 불법주정차구역에서는 24시간동안 운영되고있으나 어린이보호구역 중 초등학교정문앞도로는시간이 제한되어 있어 시간외에는 정차해도 주민신고제에 의한 과태료 부과가 안된다는 문제가 있다
개선방안
불법주정차 구역중 어린이보호구역 중 초등학교정문앞도로 시간 제한 폐지한다
기대효과
어린이보호구역 중 초등학교정문앞도로 시간 이후에도 단속강화로 어린이보호구역 중 초등학교정문앞도로 주정차 근절",웹크롤링 성공,검증용137_웹본문포함
PROP-198843,과속방지카메라로 아이들의 안전을,과속방지카메라로 아이들의 안전을,2025-03-21,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198843,일·가정 양립·부모 노동,유연근무·재택근무,부모 노동시간·돌봄 병행,,하,제외,아동_안전환경: 안전 + 아이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족","？
？안녕하세요~^^
저는 율현초에서 근무하는 어린이교통안전지도사입니다~
서울시 강남구 율현동 율현초등학교 후문 앞은 작은 이차도로 입니다
그런데 이곳이 신호가 없고 지름길이다보니 어린이안전보호구역인데도 대부분 과속으로 차들이 운전을 합니다
특히나 아이들이 이곳을 지나 학교에 등교를 하는데 상가에서 나오는 차량과 이차도로에 오고가는 차량으로 등교길이 매우 위험하고 오늘도 출근시간에 과속하던 차량 사고가 바로 학생들이 들어오는 후문 앞에서 있었고 다행히 아이들 등교시간 전이라 인명사고는 없었지만 매일매일이 아이들한텐 사고의 위험이 도사리고 있는곳입니다
더 큰 사고가 일어나기 전에 학교 후문에 과속방지카메라를 달아주시어 학부님과 학생들이 좀 더 안심하고 안전하게 등교할 수 있도록 부탁드립니다",웹크롤링 성공,검증용137_웹본문포함
PROP-198646,어린이보호구역 속도규제,어린이보호구역 속도규제,2025-03-12,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198646,일·가정 양립·부모 노동,유연근무·재택근무,부모 노동시간·돌봄 병행,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,등하교 시간이 훨씬 지난 밤 9시부터 아침 8시에는 30키로라는 속도 제한을 풀어야한다고 봅니다. 백번 양보해서 밥ㅁ 10시부터 아침 7시라도 풀어서 귀가하거나 아침 일찍 출근 하는 사람에게 도움이 되는 정책이 필요해요. 왜 아이들이 다니지 않는 시간에도 속도제한을 두는 겁니까?,웹크롤링 성공,검증용137_웹본문포함
PROP-198582,어린이보호구역(스쿨존) 속도 제한을 시간대에 따라 탄련적으로 운형하는 개선 방안 모색,어린이보호구역(스쿨존) 속도 제한을 시간대에 따라 탄련적으로 운형하는 개선 방안 모색,2025-03-09,2025,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198582,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,,하,제외,아동_안전환경: 보호구역/스쿨존 + 어린이,제외필터링,"일반 아동/학교/시설/안전 제안: 학교, 보호구역, 스쿨존, 통학로 중심이며 출산·양육 직접 맥락 부족","스쿨존은 초등학교 정문을 중심으로
300m
이내의 도로에 자동차의 최대 속도를
30km/h
이내로 제한하고 있다
.
위반 속도에 따라 벌금이나 과태료를 부과받는다
.
교통사고의 위험으로부터 어린이를 보호하기 위하여 지정된 구역으로 필요성에 공감한다
.
전국의 모든 초등학교 앞 통학로에
24
시간 적용하는 것은 차량 운행자로서는 불합리한 면도 있다고 생각한다
.
등하교 시간엔 당연히 학생들의 이동이 많으므로 규정 속도를 지켜야 어린이들의 안전을 보장할 가능성이 크다
.
하지만 늦은 밤이나 새벽
,
인적이 드문 지방 도로나 오지조차도 초등학교가 있다고 같은 규정을 적용하는 것이 적절한지는 의문이다
.
코로나 팬데믹 시절
,
강원도 횡성의 오지 마을로 불리는 면 소재지에서 생활했다
.
그곳 역시 초등학교 인근에는 어린이보호구역으로 속도를 규제했다
.
학생 수가 교사보다 적은 지역이고
,
평소에도 이동 차량이 도시보다 상대적으로 적을 뿐 아니라 늦은 시간이나 새벽엔 인적은 물론 차량 통행이 거의 없다
.
그런데도 어린이보호구역을 통과할 때는 속도 제한 때문에 운행 시 주의가 필요하다
.
지난달
,
오랜만에 지인을 만나기 위해 그곳에 갔더니
40km
구간으로 변경한 것을 확인할 수 있었다
.
그렇게 변경할 수 있다면 지역의 차량 이동과 여건에 따라 탄력적으로 운영하는 것도 가능한 건 아닌가란 생각이 들었다
.
어린이보호구역의 필요성은 유지해야 하나 특정한 시간대에는 속도 제한을 탄력적으로 운영하는 것이 효율적이라 여긴다
.
예를 들면
,
등하교와 관련이 적은 밤
9
시부터 새벽
6
시
,
또는 저녁
6
시 이후부터 새벽
7
시까지
,
혹은 그 외 적절한 시간 동안에는 규정 속도를 시내 운행 속도처럼
50km
로 바꾸는 것이다
.
아파트 단지가 밀집된 도시의 주거지 근처에는 대부분 초등학교가 있기 마련이다
.
초등학교 품은 아파트
(
초품아
)
라고 불린 정도로 인기까지 높다
.
이런 곳은 출퇴근 시간에 차량이 더 많아진다
.
출근 시간은 등교 시간과 비슷할 수도 있지만
,
퇴근 시간은 대부분 학생이 많지 않다
.
그런데도 속도 제한 때문에 오히려 차량이 늘어나 막히는 현상마저 있다
.
갑자기 속도를 줄여야 하는 불편도 있어 자칫 속도위반 과태료 고지서를 받기 쉽다
.
도로는 보행자와 차량 운행자 모두를 보호해야 하므로 어린이 교통안전 교육과 더불어 시간대에 따라 탄력적으로 운행 속도를 조절하는 스쿨존이었으면 좋겠다
.
보행자인 어린이 보호의 취지와 함께 운전자의 운행 여건도 충분히 고려한 정책이었으면 좋겠다
.",웹크롤링 성공,검증용137_웹본문포함
PROP-198483,어린이보호구역 야간 시간 해제,어린이보호구역 야간 시간 해제,2025-03-04,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=198483,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,,하,제외,아동_안전환경: 보호구역 + 어린이,제외필터링,일반 아동/학교/시설/안전 제안: 보호구역 중심이며 출산·양육 직접 맥락 부족,"어린이보호구역의 시간을 정하면 교통 체증의 해소에 도움이 될것으로 보입니다.
어린이들의 이동 시간인 오전 8시~오후 8시까지 어린이보호구역 속도제한을 하되,
그 이후 시간에는 일반 도로의 속도 제한이면 좋겠습니다.",웹크롤링 성공,검증용137_웹본문포함
