category,cluster,item_count,source_count,demand,policy_gap,urgency,feasibility,evidence_confidence,priority_score,status,recommended_action,representative_titles
임신·난임·생식건강,임신·출산 이용기준,282,2,100,65,55,60,56,72,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,임산부 스마트 배려 뱃지 도입 제안 | 대중교통 임산부 배려석 뱃지 태그 시스템 도입 | 임산부 배려 뱃지 배포
정보·상담·교육·거버넌스,기타·추가 검토,109,2,87,72,55,60,56,69,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의 | 친환경 수열 에너지 및 빗물 순환 기술을 적용한 '[자양한강도서관] 유수지 복합 스포츠센터(아이스링크)' 건립 제안 | 유아숲체험원 운영 용역사업 평가 개선 건의문
보육·돌봄 인프라,기타·추가 검토,38,2,74,74,55,60,56,66,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요 | [시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다. | 서울형키즈카페 연령제한 형제자매 제한없이 들어갈수있게해주세요
보육·돌봄 인프라,돌봄·보육 접근성,240,2,98,46,55,60,56,66,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"서울시 초등돌봄센터 일시돌봄 이용대상자 확대 | [시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고 | [시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안"
임신·난임·생식건강,주거·이동 환경,29,1,70,80,55,60,50,66,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의 | 서울 시내버스 임산부/노약자 좌석 관련 | 지하철 임산부석 이용 방식 개선에 대한 시민 제안
출산·산후 초기지원,임신·출산 이용기준,188,2,95,43,55,60,56,65,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,저출산 고령화 문제에 관한 제안 | 신생아 특례대출 기간 늘려주세요 | 출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계)
정보·상담·교육·거버넌스,주거·이동 환경,25,2,68,77,55,60,56,65,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다. | 어린이 보호구역 이륜차 무단 주차 방지를 위한 종합 관리 방안 | 어린이 차량갇힘사고 예방 등을 위한 이동형 안전체험버스 제작
주거·교통·도시생활환경,기타·추가 검토,35,1,73,82,45,60,50,65,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,"서울시 신혼부부 지원 | 서울특별시 신혼부부  임차보증금 대출 사업 | 공공자전거 그다음 ""공공유모차"", 어르신 등 취약계층 ""공공 지팡이 의자"" 정책사업 도입은 어떠할까요?"
다자녀·양육비·생활지원,기타·추가 검토,51,2,77,68,45,60,56,63,제도 개선,신청·이용 기준을 조정하고 시범사업 또는 조례 개정 검토,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구 | 서울시 공공자전거 따릉이 다자녀가구 할인 도입 제안 | 여의신월지하차도 다자녀(3자녀 이상) 가구 통행료 할인 적용 제안
다자녀·양육비·생활지원,주거·이동 환경,26,2,69,57,55,60,56,60,모니터링,추가 근거를 수집하고 반복 발생 여부를 다음 분석 주기에 재평가,"타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다. | 공영주차장 다둥이카드, 직원들이 잘 모르네요 | 뉴행복다둥이카드"
