제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,크롤링상태,보정필터_소스
PROP-202344,유아숲체험원 운영 용역사업 평가 개선 건의문,유아숲체험원 운영 용역사업 평가 개선 건의문,2026-07-08,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202344,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,영유아,상,직접관련,교육·프로그램: 체험 + 유아,기존 1차 직접키워드 수집,,"“
유아숲체험원 운영 용역사업의 제안 평가는
영유아를 대상으로 하는
“
특정 대상
”
인 것 만큼
,
‘
잘 만든 제안서
’
가 아니라
,
영유아의 발달 특성과 안전을 실제 구현할 수 있는
열심하는 유아숲지도사의 숲 현장 노력과
전문성 중심
으로
재편되어야 합니다
.”",웹크롤링 성공,검증용137_웹본문포함
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,2026-06-17,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,어린이집,상,직접관련,아동_안전환경: 안전 + 아동,기존 1차 직접키워드 수집,,"안녕하세요.방과후교실에서 2026년 3월에 지역아동센터로 전환된 영성지역 아동센터 입니다.
도로가 급경사를 이룬곳도 많으며 이동 차량도 많습니다.
또한 우리센터 기준으로 100m 아래로 어린이집, 100m위쪽으로 청운복지관 노인시설,아동시설이 위치해 있습니다.
현재 도로에는 30km과 방지턱이 있으나 운전자들이 인지하기엔 다소 미흡니다.
그리고 주택가 인근이라서 주차된 차량으로 많이 표지판등이 가리워 졌습니다.그래서 6월초경 저희 센터 앞쪽에서 아동이
반대편쪽 엄마를 보고 톡 튀어 나가 사고가 났다는 소식을 들어, 우리에게도 일어날수 있다는 생각이 들어 아이들의 안전를 위해 서울시에서 도로에어린이 안전구역임을 표지해 주시기를 간절히 요청 합니다.꼭 부탁드립니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-201853,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요,2026-04-17,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201853,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,,"서울시에서 운영하는 다양한 시민 참여 정책에 감사드립니다.
저는 현재 강남구보건소에서 운영 중인 예방접종 관리 프로그램이 시민들에게 매우 유용한 서비스라고 생각합니다.  접종 안전성 측면에서 많은 도움이 되고 있어, 이러한 시스템이 다른구 보건소에도  확대되면 좋겠다는 생각이 들어 제안을 드립니다.
저는 오접종 경헙이 있었던 사람으로서. 강남구보건소에서 시행 중인 접종전에 확실하게 사고를 방지 할수 있고 체계적으로 관리할 수 있는 시스템이 서울 전역으로 확대된다면, 접종 오류를 줄이고 시민들의 신뢰를 높이는 데 큰 도움이 될 것으로 기대됩니다.
자치구별로 시민에서 제공하는 서비스가 틀리다는 부분이 좀 이해가 안가는 부분도 있습니다만
타 자치구에서도 충분히 도입 가능하다고 생각하며, 서울시 차원에서 검토해 주시기를 요청드립니다.
시민의 건강과 안전을 위한 정책에 항상 힘써주셔서 감사드리며, 본 제안이 긍정적으로 검토되기를 바랍니다.
감사합니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-201610,[시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다.,[시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다.,2026-03-08,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201610,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,육아,상,직접관련,기저귀갈이대,기존 1차 직접키워드 수집,,"여자화장실에는 접이식 기저귀 갈이대가 있습니다.
남자화장실에는 기저귀 갈이대가 없습니다.
현시대에는 엄마, 아빠 함께 육아를 하기 때문에
우유를 먹이거나 기저귀 가는 일에 아빠도 함께합니다.
그런데 현재 남자화장실에는 기저귀 갈이대가 없습니다.
아빠 혼자 육아를 하는 경우가 많아졌습니다.
남자화장실에도 기저귀갈이대가 설치되길 바랍니다.
여아를 남자화장실에서 기저귀 갈아주기는 조금 불편하므로 유아와 아빠와 함께 사용하는
화장실을 만들고
그 안에 접이식 기저귀 갈이대를
설치되길 바랍니다.
화장실 중에는 부모와 유아가 함께 사용하는 조금 큰 화장실이 있습니다.
아래 시군구 선택을 전체도 만들어주세요.",웹크롤링 성공,검증용137_웹본문포함
PROP-201599,서울형키즈카페 연령제한 형제자매 제한없이 들어갈수있게해주세요,서울형키즈카페 연령제한 형제자매 제한없이 들어갈수있게해주세요,2026-03-06,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201599,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,,서울형키즈카페 형제자매 동시들어걀수있게 부탁드립니다.예를들어사당2동 서울형키즈카페의경우  21년생 들어가면 19년생도 동시 입장할수있게 부탁드립니다.,웹크롤링 성공,검증용137_웹본문포함
PROP-201543,[시민규제발굴단] 초등 긴급·일시돌봄 ‘사전등록제’ 폐지 또는 간소화,[시민규제발굴단] 초등 긴급·일시돌봄 ‘사전등록제’ 폐지 또는 간소화,2026-02-20,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201543,보육·돌봄 인프라,가족돌봄,아이돌봄·조부모돌봄,일시돌봄,상,직접관련,일시돌봄,확장 1차 생활키워드 수집,,"1. 문제
- 긴급 상황인데도
사전회원 등록·서류 제출
을 먼저 요구
- 갑작스런 야근·질병·경조사 시 이용 어려움
2. 개선 제안
- 긴급일시돌봄은
사후 서류 제출 허용
- 보호자 신분 확인 후 즉시 이용 가능하도록 절차 단순화
- 서울시 통합 인증(서울시민 인증)으로 자동 연계",웹크롤링 성공,검증용137_웹본문포함
PROP-201476,어린이 보호구역 이륜차 무단 주차 방지를 위한 종합 관리 방안,어린이 보호구역 이륜차 무단 주차 방지를 위한 종합 관리 방안,2026-02-06,2026,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201476,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,유치원,상,직접관련,아동_안전환경: 보호구역 + 어린이,기존 1차 직접키워드 수집,,"본 제안은
어린이 보호구역(스쿨존) 인근 보도 및 이면도로에 배달 오토바이와 자전거 등 이륜차가 무분별하게 주차되어 있어 아동의 보행 안전이 심각하게 위협받고 있는 문제를 개선하고자 함
. 실제로 성동구 경동초등학교 앞과 강동구 유정유치원 앞 어린이 보호구역 등에서 유사한 문제가 지속적으로 발생하고 있음.
이에 대한 개선 방안으로
무단 방치 행위가 3회 적발될 경우 이용자에게 과태료를 부과하고 서울시 내 공유 기기 이용을 영구 제한하는 ‘이용자 3OUT 제도’를 도입함
으로써 이용자 책임을 강화하고자 함. 또한
시민이 직접 방치된 기기를 지정 주차 구역으로 이동할 경우 건당 보상금(서울페이 등)을 지급하는 시민 참여형 견인 제도를 도입함
으로써, 행정 인력이 미치기 어려운 골목 지역까지 실시간 정비가 가능하도록 함. 아울러
해당 내용을 공유 기기 업체와의 협약 및 서울시 조례에 명문화하여 업체의 이용자 관리 책임을 강화하고 시민 참여형 정비가 가능하도록 행정적 기반을 마련함
.
이를 통해
어린이 보호구역 내 보행 안전을 확보하고 도시 미관을 개선할 수 있을 것으로 기대됨
. 더불어
시민 참여를 통해 한정된 단속 인력을 보완함으로써 행정 비용을 절감하고, 지역 내 소득 창출과 선진적인 주차 문화 정착에 기여할 수 있을 것으로 판단됨
.",웹크롤링 성공,검증용137_웹본문포함
PROP-201294,서울형키즈카페 서울 생활권자 이용권한 확대,서울형키즈카페 서울 생활권자 이용권한 확대,2026-01-17,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201294,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,"육아, 유치원, 다자녀",상,직접관련,서울형키즈카페,기존 1차 직접키워드 수집,,"서울형키즈카페를 서울 생활권자 다자녀가족도 무료로 이용할 수 있도록 개선 부탁드립니다.
서울생활권자는 사실상:
？ 아이 유치원·학교 서울
？ 부모 직장 서울
？ 소비·교통·병원·문화생활 전부 서울
？ 서울 혼잡·비용·육아환경 부담 똑같이 감당
그런데도
？ 주소지 한 줄 때문에
？ 다자녀여도
？ 무료 혜택 제외
？？ 부담은 같이 지는데, 혜택만 못 받는 구조
이게 억울한 포인트예요.
솔직한 결론
？ 공정하지 않음
？ 육아 현실을 반영하지 못함
？ 다자녀 정책 취지에도 어긋남",웹크롤링 성공,검증용137_웹본문포함
PROP-201182,장위동에 서울형키즈카페 개설 건의합니다.,장위동에 서울형키즈카페 개설 건의합니다.,2026-01-09,2026,57.0,1,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201182,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,육아,상,직접관련,서울형키즈카페,기존 1차 직접키워드 수집,,"장위1동에 있던 작은 육아공간마저 사라지고 장위동 일대에 서울형 키즈카페가 아예 없어 장위동 아이들은 자차나 버스를 타고 다른 동이나 구로 이동하여 서울형 키즈카페를 가야하는 불편 함이 있습니다.
장위동 일대에 많은 아파트가 들어서고 들어설 예정이니 많은 아이들이 찾을수 있는 서울형 키즈카페를 만들어 주셨으면 좋겠습니다.",웹크롤링 성공,검증용137_웹본문포함
PROP-201155,종로구 서울형키즈카페,종로구 서울형키즈카페,2026-01-04,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201155,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,서울형키즈카페,상,직접관련,서울형키즈카페,확장 1차 생활키워드 수집,,"종로구는 혜명 놀이터만 있는데
연령이 높아 다른 지역에 비해 이용이 불편한거 같습니다. 요즘 지역별로 멋지게 많이 짓던데 종로구도 하나 생겼으면 좋겠습니다~^^",웹크롤링 성공,검증용137_웹본문포함
